NATION|SEASON ID|RALLY ID|STAGE PROGR IN RALLY|STAGE|WINNER|CAR FEDE|CAR BOMBER|WEATHER|TIME|ENTITY ID|CREATION TM
WrcCountry[12,Spain]|15|16|0|WrcStage[130,stage-Spain-0]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|17|2019-05-10T23:25:06.665
WrcCountry[12,Spain]|15|16|1|WrcStage[131,stage-Spain-1]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|18|2019-05-10T23:25:06.665
WrcCountry[12,Spain]|15|16|2|WrcStage[132,stage-Spain-2]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|19|2019-05-10T23:25:06.666
WrcCountry[12,Spain]|15|16|3|WrcStage[133,stage-Spain-3]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|20|2019-05-10T23:25:06.666
WrcCountry[12,Spain]|15|16|4|WrcStage[134,stage-Spain-4]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|21|2019-05-10T23:25:06.667
WrcCountry[2,Sweden]|15|22|0|WrcStage[83,stage-Sweden-0]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|23|2019-05-11T00:26:13.844
WrcCountry[2,Sweden]|15|22|1|WrcStage[84,stage-Sweden-1]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|24|2019-05-11T00:26:13.845
WrcCountry[2,Sweden]|15|22|2|WrcStage[85,stage-Sweden-2]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|25|2019-05-11T00:26:13.845
WrcCountry[2,Sweden]|15|22|3|WrcStage[86,stage-Sweden-3]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|26|2019-05-11T00:26:13.846
WrcCountry[11,France]|15|27|0|WrcStage[126,stage-France-0]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|28|2019-05-11T00:50:58.281
WrcCountry[11,France]|15|27|1|WrcStage[127,stage-France-1]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|29|2019-05-11T00:50:58.281
WrcCountry[11,France]|15|27|2|WrcStage[128,stage-France-2]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|30|2019-05-11T00:50:58.282
WrcCountry[3,Mexico]|15|31|0|WrcStage[88,stage-Mexico-0]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|32|2019-05-11T01:21:10.678
WrcCountry[3,Mexico]|15|31|1|WrcStage[89,stage-Mexico-1]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|33|2019-05-11T01:21:10.678
WrcCountry[3,Mexico]|15|31|2|WrcStage[90,stage-Mexico-2]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|34|2019-05-11T01:21:10.679
WrcCountry[3,Mexico]|15|31|3|WrcStage[91,stage-Mexico-3]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|35|2019-05-11T01:21:10.679
WrcCountry[10,China]|15|36|0|WrcStage[123,stage-China-0]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|37|2019-05-11T01:48:16.279
WrcCountry[10,China]|15|36|1|WrcStage[124,stage-China-1]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|38|2019-05-11T01:48:16.279
WrcCountry[10,China]|15|36|2|WrcStage[125,stage-China-2]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|39|2019-05-11T01:48:16.28
WrcCountry[10,China]|15|36|3|WrcStage[123,stage-China-0]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|40|2019-05-11T01:48:16.28
WrcCountry[6,Italy]|15|41|0|WrcStage[103,stage-Italy-0]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|42|2019-05-11T02:26:04.961
WrcCountry[6,Italy]|15|41|1|WrcStage[104,stage-Italy-1]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|43|2019-05-11T02:26:04.961
WrcCountry[6,Italy]|15|41|2|WrcStage[105,stage-Italy-2]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|44|2019-05-11T02:26:04.961
WrcCountry[6,Italy]|15|41|3|WrcStage[106,stage-Italy-3]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|45|2019-05-11T02:26:04.962
WrcCountry[6,Italy]|15|41|4|WrcStage[107,stage-Italy-4]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|46|2019-05-11T02:26:04.962
WrcCountry[14,Australia]|15|47|0|WrcStage[140,stage-Australia-0]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|48|2019-05-17T23:15:54.678
WrcCountry[14,Australia]|15|47|1|WrcStage[141,stage-Australia-1]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|49|2019-05-17T23:15:54.679
WrcCountry[14,Australia]|15|47|2|WrcStage[142,stage-Australia-2]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|50|2019-05-17T23:15:54.679
WrcCountry[14,Australia]|15|47|3|WrcStage[143,stage-Australia-3]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|51|2019-05-17T23:15:54.68
WrcCountry[13,United Kingdom]|15|52|0|WrcStage[135,stage-United Kingdom-0]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|53|2019-05-17T23:47:44.398
WrcCountry[13,United Kingdom]|15|52|1|WrcStage[136,stage-United Kingdom-1]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|54|2019-05-17T23:47:44.398
WrcCountry[13,United Kingdom]|15|52|2|WrcStage[137,stage-United Kingdom-2]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|55|2019-05-17T23:47:44.398
WrcCountry[13,United Kingdom]|15|52|3|WrcStage[138,stage-United Kingdom-3]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|56|2019-05-17T23:47:44.399
WrcCountry[13,United Kingdom]|15|52|4|WrcStage[139,stage-United Kingdom-4]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|57|2019-05-17T23:47:44.399
WrcCountry[5,Portugal]|15|58|0|WrcStage[98,stage-Portugal-0]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|59|2019-05-18T00:46:12.179
WrcCountry[5,Portugal]|15|58|1|WrcStage[99,stage-Portugal-1]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|60|2019-05-18T00:46:12.18
WrcCountry[5,Portugal]|15|58|2|WrcStage[100,stage-Portugal-2]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|61|2019-05-18T00:46:12.18
WrcCountry[5,Portugal]|15|58|3|WrcStage[101,stage-Portugal-3]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|62|2019-05-18T00:46:12.18
WrcCountry[5,Portugal]|15|58|4|WrcStage[102,stage-Portugal-4]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|63|2019-05-18T00:46:12.18
WrcCountry[7,Poland]|15|64|0|WrcStage[108,stage-Poland-0]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|65|2019-05-18T01:01:14.604
WrcCountry[7,Poland]|15|64|1|WrcStage[109,stage-Poland-1]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|66|2019-05-18T01:01:14.605
WrcCountry[7,Poland]|15|64|2|WrcStage[110,stage-Poland-2]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|67|2019-05-18T01:01:14.605
WrcCountry[8,Finland]|15|68|0|WrcStage[113,stage-Finland-0]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|69|2019-05-18T01:26:26.642
WrcCountry[8,Finland]|15|68|1|WrcStage[114,stage-Finland-1]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|70|2019-05-18T01:26:26.642
WrcCountry[8,Finland]|15|68|2|WrcStage[115,stage-Finland-2]|BOMBER|NULL|NULL|CLEAR_SKY|DAWN|71|2019-05-18T01:26:26.643
WrcCountry[8,Finland]|15|68|3|WrcStage[116,stage-Finland-3]|FEDE|NULL|NULL|CLEAR_SKY|DAWN|72|2019-05-18T01:26:26.643
WrcCountry[4,Argentina]|15|146|0|WrcStage[93,stage-Argentina-0]|BOMBER|WrcCar[76,Volkswagen Polo R]|WrcCar[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|147|2019-05-25T01:32:20.455
WrcCountry[4,Argentina]|15|146|1|WrcStage[94,stage-Argentina-1]|FEDE|WrcCar[76,Volkswagen Polo R]|WrcCar[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|148|2019-05-25T01:32:20.457
WrcCountry[4,Argentina]|15|146|2|WrcStage[95,stage-Argentina-2]|FEDE|WrcCar[76,Volkswagen Polo R]|WrcCar[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|149|2019-05-25T01:32:20.458
WrcCountry[4,Argentina]|15|146|3|WrcStage[96,stage-Argentina-3]|FEDE|WrcCar[76,Volkswagen Polo R]|WrcCar[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|150|2019-05-25T01:32:20.461
WrcCountry[1,Monaco]|151|152|0|WrcStage[78,stage-Monaco-0]|BOMBER|WrcCar[74,Hyundai i20]|WrcCar[74,Hyundai i20]|CLEAR_SKY|DAWN|153|2019-05-25T02:11:45.784
WrcCountry[1,Monaco]|151|152|1|WrcStage[79,stage-Monaco-1]|FEDE|WrcCar[74,Hyundai i20]|WrcCar[74,Hyundai i20]|CLEAR_SKY|DAWN|154|2019-05-25T02:11:45.785
WrcCountry[1,Monaco]|151|152|2|WrcStage[80,stage-Monaco-2]|BOMBER|WrcCar[74,Hyundai i20]|WrcCar[74,Hyundai i20]|CLEAR_SKY|DAWN|155|2019-05-25T02:11:45.785
