Argentina|ARG|2019-05-11T03:55:12.851
Australia|AUS|2019-05-11T03:55:12.882
China|CHN|2019-05-11T03:55:12.867
Finland|FIN|2019-05-11T03:55:12.867
France|FRA|2019-05-11T03:55:12.867
Germany|GER|2019-05-11T03:55:12.867
Italy|ITA|2019-05-11T03:55:12.851
Mexico|MEX|2019-05-11T03:55:12.835
Monaco|MON|2019-05-11T03:55:12.835
Poland|POL|2019-05-11T03:55:12.851
Portugal|POR|2019-05-11T03:55:12.851
Spain|ESP|2019-05-11T03:55:12.867
Sweden|SWE|2019-05-11T03:55:12.835
United Kingdom|GBR|2019-05-11T03:55:12.882
